Mã CLB,,Tên CLB,,Trang phuc sân  nhà,,Trang ph?c sân khách,,Website,
,,,,,,,,,
ARS,,Arsenal,,??,,Vàng ?en,,https://www.arsenal.com/,
CHE,,Chelsea,,Xanh ??m,,Xanh ?en,,https://www.chelseafc.com,
LIV,,Liverpool,,??,,Tr?ng,,https://www.liverpoolfc.com/,
MCI,,Manchester City,,Xanh nh?t,,Xanh ??m,,https://www.mancity.com/,
MUN,,Manchester United,,??,,Tr?ng,,https://www.manutd.com/,
TOT,,Tottenham Hospur,,Tr?ng,,Xám nâu,,https://www.tottenhamhotspur.com/,
RMA,,Real Madrid,,Tr?ng,,Xanh ??m,,https://www.realmadrid.com/en-US/football/first-team/home,
BAR,,Barcelona,,Xanh ??,,Vàng ?en,,https://www.fcbarcelona.com/en/,
ATM,,Atletico Madrid,,?? tr?ng,,Xanh tr?ng,,https://en.atleticodemadrid.com/,
BAY,,Bayern Munich,,??,,?en,,https://fcbayern.com/en,
DOR,,Dortmund,,Vàng  ?en,,Vàng,,https://www.bvb.de/eng,
LEV,,Bayer Leverkusen,,?en,,Tr?ng,,https://www.bayer04.de/en-us,
JUV,,Juventus,,Tr?ng ?en,,Tr?ng ,,https://www.juventus.com/en/,
INT,,Inter Milan,,Xanh ?en,,Xanh,,https://www.inter.it/it,
MIL,,AC Milan,,?? ?en,,??,,https://www.acmilan.com/en,
ROM,,AS Roma,,??,,??,,https://www.asroma.com/en,
NAP,,SSC Napoli,,Xanh nh?t,,Xanh,,https://sscnapoli.it/en/,
PSG,,Paris Saint-Germain,,Xanh ??m,,Tr?ng ,,https://en.psg.fr/,
